City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san-pedro,4.7485,-6.6363,27.450000000000045,80,97,4.69,CI,1682106635
1,margaret river,-33.95,115.0667,13.580000000000041,92,11,4.02,AU,1682106636
2,ar rumaythah,31.5263,45.2025,25.83000000000004,35,11,5.41,IQ,1682106637
3,pandan,14.0453,124.1694,25.650000000000034,85,94,2.46,PH,1682106637
4,mana,5.6592,-53.7767,26.02000000000004,88,100,3.69,GF,1682106638
5,dunedin,-45.8742,170.5036,11.560000000000002,10,86,2.38,NZ,1682106342
6,margate,51.3813,1.3862,8.28000000000003,87,91,0.45,GB,1682106445
7,lichtenburg,-26.152,26.1597,14.660000000000025,47,35,2.2,ZA,1682106536
8,bredasdorp,-34.5322,20.0403,11.900000000000034,65,100,0.49,ZA,1682106640
9,hamilton,39.1834,-84.5333,18.82000000000005,88,75,6.69,US,1682106469
10,adamstown,-25.066,-130.1015,24.80000000000001,79,100,8.57,PN,1682106640
11,port-aux-francais,-49.35,70.2167,4.860000000000014,64,78,7.05,TF,1682106641
12,edinburgh of the seven seas,-37.0676,-12.3116,19.430000000000007,89,100,14.12,SH,1682106642
13,urucara,-2.5364,-57.76,30.410000000000025,68,93,1.54,BR,1682106642
14,udachny,66.4167,112.4,-16.609999999999957,100,100,1.75,RU,1682106643
15,les anglais,18.3054,-74.2197,26.689999999999998,69,28,1.72,HT,1682106643
16,happy valley-goose bay,53.3168,-60.3315,4.170000000000016,60,20,6.69,CA,1682106644
17,alice springs,-23.7,133.8833,8.75,87,14,0.0,AU,1682106644
18,waitangi,-43.9535,-176.5597,16.57000000000005,93,100,2.68,NZ,1682106645
19,alesund,62.4723,6.1549,11.060000000000002,77,0,5.14,NO,1682106645
20,tazovsky,67.4667,78.7,-0.7399999999999523,94,100,4.37,RU,1682106646
21,puerto natales,-51.7236,-72.4875,9.25,43,20,8.23,CL,1682106646
22,selfoss,63.9331,-20.9971,8.25,59,17,5.92,IS,1682106647
23,saldanha,-33.0117,17.9442,11.03000000000003,61,100,4.14,ZA,1682106647
24,saint-joseph,-21.3667,55.6167,25.210000000000036,79,23,3.2,RE,1682106647
25,bilibino,68.0546,166.4372,-6.42999999999995,71,11,1.02,RU,1682106387
26,grytviken,-54.2811,-36.5092,2.1000000000000227,63,100,2.74,GS,1682106388
27,tocache,-8.1842,-76.5125,24.600000000000023,90,100,1.48,PE,1682106649
28,weno,7.4515,151.8468,25.970000000000027,94,75,1.54,FM,1682106650
29,natal,-5.795,-35.2094,29.360000000000014,65,20,6.69,BR,1682106467
30,al khums,32.6486,14.2619,17.660000000000025,88,8,6.24,LY,1682106651
